"Q_No","Question_EN","Question_HI","Opt1_EN","Opt1_HI","Opt2_EN","Opt2_HI","Opt3_EN","Opt3_HI","Opt4_EN","Opt4_HI","Opt5_EN","Opt5_HI","Correct_Option","Sol_EN","Sol_HI"
"95","Who among these mocked the Indian National Congress by saying that 'it represents a very microscopic minority'?","इनमें से किसने यह कहते हुए भारतीय राष्ट्रीय काँग्रेस की हँसी उड़ाई कि 'यह एक बहुत सूक्ष्म भाग (अल्पसंख्यक) का प्रतिनिधित्व करता है'?","Dufferin","डफरिन","Curzon","कर्जन","Minto","मिन्टो","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Lord Dufferin mocked the INC by calling it a representative of a 'microscopic minority'.","लॉर्ड डफरिन ने यह कहकर कांग्रेस का मज़ाक उड़ाया था कि यह केवल 'सूक्ष्मदर्शी अल्पसंख्यकों' (microscopic minority) का प्रतिनिधित्व करती है।"
"96","Who was sentenced to death in the Muzaffarpur bomb case?","मुजफ्फरपुर बम काण्ड में किसको फाँसी की सजा दी गई थी?","Prafulla Chaki","प्रफुल्ल चाकी","Khudiram Bose","खुदीराम बोस","Rashbehari Bose","रासबिहारी बोस्","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Khudiram Bose was caught and hanged in the 1908 Muzaffarpur bombing case.","1908 के मुजफ्फरपुर बम कांड के बाद खुदीराम बोस को गिरफ्तार करके फाँसी दी गई थी।"
"97","Who among the following was not associated with the 'Ahrar Movement'?","इनमें से कौन एक 'अहरार आन्दोलन' से सम्बन्धित नहीं थे?","Maulana Mazharul Haque","मौलाना मजहरुल हक़","Maulana Zafar Ali Khan","मौलाना जफर अली खाँ","Maulana Altaf Hussain Hali","मौलाना अल्ताफ हुसैन हाली","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Maulana Altaf Hussain Hali was part of the Aligarh Movement, not the nationalist Ahrar Movement.","मौलाना अल्ताफ हुसैन हाली अलीगढ़ आन्दोलन से जुड़े थे, 'अहरार आन्दोलन' से नहीं।"
"98","Who led the 'Kol Rebellion' during 1832-33?","1832-33 के मध्य 'कोल विद्रोह' का नेतृत्व किसने किया था?","Narayan Rao","नारायण राव","Sidhu and Kanhu","सिधू और कान्हू","Buddhu Bhagat","बुद्धू भगत","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","The Kol uprising was led by Buddhu Bhagat. The given options don't match exactly.","कोल विद्रोह का नेतृत्व बुद्धू भगत ने किया था। दिए गए विकल्पों में सही नाम नहीं है, अतः विकल्प E सही है।"
"99","In which year did Babu Kunwar Singh pass away?","किस वर्ष बाबू कुँवर सिंह का देहान्त हुआ?","1857","1857","1858","1858","1859","1859","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Babu Kunwar Singh died on 26 April 1858.","बाबू वीर कुँवर सिंह का निधन 26 अप्रैल 1858 को हुआ था।"
"100","Who is credited with founding the 'Young Bengal Movement'?","'युवा बंगाल आन्दोलन' की स्थापना का श्रेय किसे है?","Henry Vivian Derozio","हेनरी विवियन डेरोजियो","Ishwar Chandra Vidyasagar","ईश्वरचन्द्र विद्यासागर","Raja Ram Mohan Roy","राजा राममोहन राय","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","The Young Bengal Movement was founded by Henry Louis Vivian Derozio.","'युवा बंगाल आन्दोलन' की शुरुआत हेनरी लुई विवियन डेरोजियो ने की थी।"
"101","On which date did Clement Attlee announce that the British would leave India by June 1948?","किस तिथि को क्लीमेन्ट एटली ने घोषणा की, कि जून 1948 तक ब्रिटिश भारत को छोड़ देगा?","20 January, 1947","20 जनवरी, 1947","20 February, 1947","20 फरवरी, 1947","10 January, 1947","10 जनवरी, 1947","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","British Prime Minister Clement Attlee made this historic declaration in the House of Commons on 20 February 1947.","ब्रिटिश प्रधानमंत्री क्लीमेंट एटली ने 20 फरवरी 1947 को हाउस ऑफ कॉमन्स में घोषणा की थी कि अंग्रेज जून 1948 तक भारत छोड़ देंगे।"
"102","In which year was Bihar separated from Bengal?","किस वर्ष बिहार को बंगाल से अलग किया गया था?","1905","1905","1907","1907","1909","1909","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","Bihar (along with Orissa) was separated from the Bengal Presidency in 1912. Since 1912 is not in the options, the answer is 'None of the above'.","बिहार (और उड़ीसा) को बंगाल प्रेसीडेंसी से 1912 में अलग किया गया था। विकल्पों में 1912 नहीं है, इसलिए विकल्प E (कोई नहीं) सही है।"
"103","Which of the following was the main cause of the Quit India Movement, 1942?","निम्नलिखित में से भारत छोड़ो आन्दोलन, 1942 का मुख्य कारण क्या था?","Failure of the Cripps Mission","क्रिप्स मिशन की असफलता","Harmful effects of the Second World War","द्वितीय विश्वयुद्ध के हानिकारक प्रभाव","Gandhi-Irwin Pact","गाँधी-इरविन समझौता","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","The immediate cause of the Quit India Movement was the failure of the Cripps Mission (1942).","भारत छोड़ो आंदोलन का तात्कालिक और मुख्य कारण क्रिप्स मिशन (1942) की विफलता थी।"
"104","'Hindi shall be the official language of the Union of India' – this was decided in September 1949 by which committee of the Constituent Assembly?","'हिन्दी भारत के संघ की राजभाषा होगी', ऐसा संविधान निर्मात्री सभा की किस समिति द्वारा, सितम्बर 1949 में निर्णीत कर दिया था?","By the Committee on the Supreme Court","सर्वोच्च न्यायालय पर समिति द्वारा","By the Rules and Procedure Committee","नियम तथा प्रक्रिया समिति द्वारा","By the Drafting Committee","प्रारूप समिति द्वारा","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The Drafting Committee drafted the language provisions which made Hindi the official language.","यह निर्णय प्रारूप समिति (Drafting Committee) द्वारा किया गया था।"
"105","Which of the following aspects of the nullity of law is found in India?","निम्नलिखित में से भारतवर्ष में विधि की शून्यता का कौन-सा पहलू पाया जाता है?","Judiciary can declare disputed executive orders or legislative measures void, wholly or in part","न्यायपालिका, विवादित कार्यपालिका आदेश या विधायी उपायों को, पूर्णतः या उसके भाग को शून्य घोषित कर सकती है","A statute can be declared void wholly or in part","एक संविधि पूर्णतः या आंशिक रूप से शून्य घोषित की जा सकती है","A void law can be revived by the state through a constitutional amendment","एक शून्य विधि को, संवैधानिक संशोधन के माध्यम से, राज्य द्वारा पुनर्जीवित किया जा सकता है","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","4","In India, the judiciary has the power of judicial review to strike down laws wholly or partially. Thus, both A and B are correct.","भारत में न्यायपालिका न्यायिक समीक्षा के तहत विधियों और आदेशों को पूर्ण या आंशिक रूप से शून्य घोषित कर सकती है। अतः A और B दोनों सही हैं।"
"106","Which of the following committee's main objective was to give an exact definition of 'defection' in India before 1970?","निम्नलिखित में से किस समिति का मुख्य उद्देश्य 1970 से पूर्व, भारत में 'दलबदल' की सटीक परिभाषा देना था?","Chavan Committee","चव्हाण समिति","Harshad Mehta Committee","हर्षद मेहता समिति","Mudaliar Committee","मुदालियर समिति","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","The Y.B. Chavan Committee was constituted in 1967 to study political defections and define it.","वाई.बी. चव्हाण समिति का गठन 1967 में राजनीतिक 'दलबदल' की समस्या का अध्ययन करने के लिए किया गया था।"
"107","Who among these termed the 'Community Development Programme' as a 'Silent Revolution'?","इनमें से किसने 'सामुदायिक कार्यक्रम' को एक 'मौन क्रान्ति' की संज्ञा दी थी?","Dr. Rajendra Prasad","डॉ० राजेन्द्र प्रसाद ने","Jawaharlal Nehru","जवाहरलाल नेहरू ने","Dr. B. R. Ambedkar","डॉ० बी० आर० अम्बेदकर ने","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Prime Minister Jawaharlal Nehru launched the programme in 1952 and termed it a 'silent revolution'.","प्रधानमंत्री जवाहरलाल नेहरू ने 1952 में इस कार्यक्रम की शुरुआत की थी और इसे एक 'मौन क्रांति' कहा था।"
"108","In which of the following years was the Bihar Solar Energy Irrigation Scheme started?","बिहार सौर ऊर्जा सिचाई योजना निम्नलिखित से किस वर्ष आरम्भ की गई थी?","2008","2008","2011","2011","2014","2014","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","Dedicated Solar irrigation schemes were implemented much later (post-2017). None of the given years are correct.","बिहार में सौर सिंचाई योजनाएं 2017 के बाद शुरू की गईं। दिए गए विकल्पों में से कोई भी वर्ष सही नहीं है।"
"109","The size of the Broad Gauge railway line is:","ब्रॉड गेज रेल्वे लाइन की साइज होती है:","1676 mm","1676 एम० एम०","1435 mm","1435 एम० एम०","1067 mm","1067 एम० एम०","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","The standard distance for Broad Gauge in India is 1676 mm (5 ft 6 in).","भारत में ब्रॉड गेज रेलवे लाइन की पटरियों के बीच की दूरी 1676 mm होती है।"
"110","Who is the javelin thrower who holds both Olympic and World Championship titles?","भाला फेंकने वाला वह कौन है, जिसके पास ओलम्पिक तथा वर्ल्ड चैम्पियनशिप दोनों खिताब है?","Jan Zelezny","जैन जेलेज्नी","Arshad Nadeem","अरशद नदीम","Neeraj Chopra","नीरज चोपड़ा","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","4","Both Czech legend Jan Zelezny and India's Neeraj Chopra hold both titles.","भारत के नीरज चोपड़ा और चेक गणराज्य के दिग्गज जैन जेलेज्नी दोनों के पास यह दोनों खिताब हैं। अतः एक से अधिक विकल्प सही हैं।"
"111","The unit of measurement of sound is called:","ध्वनि के मापन की इकाई को कहा जाता है:","Volt","वोल्ट","Watt","बाट","Ampere","ऐम्पीयर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","5","The unit for measuring sound is Decibel (dB). None of the given options are correct.","ध्वनि मापने की इकाई डेसिबल (Decibel) होती है। अतः विकल्प E सही है।"
"112","When was the new Parliament building of India dedicated to the nation?","भारत के नए संसद भवन को देश को कब समर्पित किया गया?","28 May, 2023","28 मई, 2023","23 August, 2023","23 अगस्त, 2023","15 August, 2022","15 अगस्त, 2022","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Prime Minister Narendra Modi inaugurated the new Parliament building on 28 May 2023.","प्रधानमंत्री नरेंद्र मोदी ने 28 मई 2023 को भारत के नए संसद भवन का उद्घाटन किया।"
"113","When did India's 'Chandrayaan-3' land on the surface of the Moon?","भारत का 'चन्द्रयान-3' चन्द्रमा की सतह पर कब उतरा ?","10 August, 2023","10 अगस्त, 2023","15 August, 2023","15 अगस्त, 2023","23 August, 2023","23 अगस्त, 2023","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The Vikram lander successfully landed on the lunar south pole region on 23 August 2023.","चंद्रयान-3 का विक्रम लैंडर 23 अगस्त 2023 को चंद्रमा के दक्षिणी ध्रुव पर सफलतापूर्वक उतरा।"
"114","Article 1 of the Constitution of India describes the country as:","भारत के संविधान का अनुच्छेद 1 देश को बनाता है:","A Republic","एक गणराज्य","A Union","एक संप (संघ)","An Independent Nation","एक स्वतंत्र राष्ट्र","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Article 1(1) states: 'India, that is Bharat, shall be a Union of States.'","अनुच्छेद 1(1) में कहा गया है: 'भारत, अर्थात् इंडिया, राज्यों का संघ (Union of States) होगा।'"
"115","Who laid the foundation of the capital Delhi during British rule?","ब्रिटिश शासन के दौरान, दिल्ली राजधानी की नींव किसने रखी?","Queen Elizabeth","महारानी एलिजावेध","King George V","किंग जॉर्ज पंचम","Queen Victoria","महारानी विक्टोरिया","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","King George V laid the foundation stone for the new capital in Delhi during the Delhi Durbar in December 1911.","दिसंबर 1911 में दिल्ली दरबार के दौरान, किंग जॉर्ज पंचम ने राजधानी कलकत्ता से दिल्ली स्थानांतरित करने की घोषणा की और नींव रखी।"
"116","According to official sources, how many Indians lost their lives due to COVID-19 till mid-2023?","सरकारी सूत्रों के अनुसार, कोविड-19 के कारण मिड-2023 तक कितने भारतीयों ने जान गंवाई?","Approx 15 Lakh","लगभग 15 लाख","Approx 5 Lakh","लगभग 5 लाख","Approx 2 Lakh","लगभग 2 लाख","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","As per official data up to mid-2023, the reported death toll in India was approximately 5.3 lakh.","आधिकारिक आंकड़ों के अनुसार, मध्य-2023 तक भारत में कोविड-19 से लगभग 5.3 लाख लोगों की मृत्यु दर्ज की गई थी।"
"117","The motto of G-20 in India is:","भारत में G-20 का ध्येय वाक्य है:","Satyameva Jayate","सत्यमेव जयते","Ek Bharat Shreshtha Bharat","एक भारत श्रेष्ठ भारत","Vasudhaiva Kutumbakam","वसुधैव कुटुम्बकम्","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The theme for India's G20 Presidency in 2023 was 'Vasudhaiva Kutumbakam'.","भारत की 2023 की G-20 अध्यक्षता का ध्येय वाक्य 'वसुधैव कुटुम्बकम्' था।"
"118","On the reverse side of which Indian currency note is the image of Mangalyaan printed?","भारतीय मुद्रा के किस नोट के पीछे की ओर मंगलयान का चित्र मुद्रित है?","On 50 Rupee note","50 रुपये के नोट पर","On 10 Rupee note","10 रुपये के नोट पर","On 2000 Rupee note","2000 रुपये के नोट पर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The ₹2000 currency note features the motif of Mangalyaan on the reverse side.","2000 रुपये के नोट के पीछे मंगलयान (Mangalyaan) का चित्र अंकित है।"
"119","By which machine is the intensity of an earthquake measured?","भूकंप की तीव्रता का मापन किस मशीन द्वारा किया जाता है?","Barometer","बैरोमीटर","Manometer","मैनोमीटर","Seismograph","सिस्मोग्राफ","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","A seismograph is used to record the motion of the ground during an earthquake.","भूकंप के दौरान उत्पन्न होने वाली तरंगों को मापने के लिए सिस्मोग्राफ (Seismograph) नामक यंत्र का उपयोग किया जाता है।"
"120","The percentage of Oxygen in the air is:","बायु में ऑक्सीजन का प्रतिशत है:","0.04%","0-04%","0.93%","0-93%","21%","21%","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Air is roughly composed of 78% Nitrogen and 21% Oxygen.","पृथ्वी के वायुमंडल में मुख्य रूप से नाइट्रोजन (लगभग 78%) और ऑक्सीजन (लगभग 21%) पाई जाती है।"
"121","In which layer of the atmosphere do airplanes fly?","वायुमण्डल की किस परत में हवाई जहाज उड़ता है?","Troposphere","क्षोभमण्डल","Stratosphere","समतापमण्डल","Mesosphere","मध्यमण्डल","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Commercial airplanes mostly fly in the lower stratosphere to avoid weather events.","अधिकांश वाणिज्यिक हवाई जहाज़ क्षोभमण्डल के ऊपर समतापमण्डल (Stratosphere) के निचले हिस्से में उड़ते हैं।"
"122","What is a threat to the environment?","पर्यावरण के लिए किससे खतरा है?","Plant growth","पादप वृद्धि","Population growth","जनसंख्या वृद्धि","Crop growth","फसल वृद्धि","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Rapid population growth leads to over-exploitation of resources, posing a threat to the environment.","अनियंत्रित जनसंख्या वृद्धि (Population growth) से प्राकृतिक संसाधनों का अत्यधिक दोहन होता है, जो पर्यावरण के लिए खतरा है।"
"123","What type of desert is the Sahara?","सहारा किस प्रकार का रेगिस्तान है?","Cold","ठंडा","Hot","गर्म","Mild","मृदु","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","The Sahara is the world's largest hot desert.","'सहारा' विश्व का सबसे बड़ा गर्म रेगिस्तान (Hot Desert) है।"
"124","When was the 'Swachh Bharat Mission' launched?","'स्वच्छ भारत मिशन' कब प्रारम्भ हुआ?","2 August, 2015","2 अगस्त, 2015","2 September, 2016","2 सितंबर, 2016","2 October, 2014","2 अक्तूबर, 2014","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","The Swachh Bharat Mission was launched on 2 October 2014.","'स्वच्छ भारत मिशन' 2 अक्टूबर 2014 (गांधी जयंती) को शुरू किया गया था।"
"125","Which city is situated on the banks of the river Ganga?","गंगा नदी के तट पर स्थित शहर है:","Prayagraj","प्रयागराज","Kolkata","कोलकाता","Bhopal","भोपाल","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Prayagraj is located at the confluence of the Ganga, Yamuna, and Saraswati rivers.","प्रयागराज गंगा, यमुना और सरस्वती के संगम पर स्थित है।"
"126","A non-conventional source of energy is:","ऊर्जा का गैर-परंपरागत स्रोत है:","Nuclear energy","परमाणु ऊर्जा","Biogas","बायोगैस","Geothermal energy","भूतापीय ऊर्जा","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","4","Nuclear, Biogas, and Geothermal energy are all considered non-conventional sources.","बायोगैस, भूतापीय ऊर्जा, सौर ऊर्जा - ये सभी ऊर्जा के गैर-परंपरागत स्रोत हैं। अतः एक से अधिक विकल्प सही हैं।"
"127","Population will decrease if:","जनसंख्या घट जाएगी, यदि:","Birth rate and death rate are equal","जन्म-दर एवं मृत्यु दर समान हों","Birth rate is high and death rate is low","जन्म-दर अधिक हो एवं मृत्यु दर कम हो","Birth rate is low and death rate is high","जन्म-दर कम हो एवं मृत्यु दर अधिक हो","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","A population decreases when the number of deaths exceeds live births.","जनसंख्या में गिरावट तब होती है जब जन्म दर कम हो और मृत्यु दर अधिक हो।"
"128","Jaundice can spread due to which of the following types of pollution?","निम्नलिखित में से किस प्रकार के प्रदूषण से पीलिया रोग फैल सकता है?","Air","वायु","Thermal","तापीय","Water","जल","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Jaundice is a water-borne disease that spreads mainly through contaminated water.","पीलिया एक जल-जनित बीमारी है, जो मुख्य रूप से प्रदूषित जल (Water pollution) पीने से फैलती है।"
"129","Which of the following places in India is a biodiversity hotspot?","निम्नलिखित में से भारत में कौन-सा स्थान जैव-विविधता हॉटस्पॉट है?","Western Ghats","पश्चिमी घाट","Nanda Devi","नंदादेवी","Aravalli","अरावली","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","The Western Ghats is one of the biodiversity hotspots in India.","भारत में 4 जैव-विविधता हॉटस्पॉट हैं, जिनमें से 'पश्चिमी घाट' सबसे प्रमुख है।"
"130","A high level of BOD (Biological Oxygen Demand) indicates that:","बी० ओ० डी० (जैविक ऑक्सीजन की माँग) की उच्च मात्रा इंगित करती है कि:","Water is highly polluted","पानी बहुत प्रदूषित है","Water is less polluted","पानी कम प्रदूषित है","High consumption of organic matter by microbes","पानी में सूक्ष्मजीवों की वजह से कार्बनिक पदार्थों का उपभोग ज्यादा है","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","4","A high BOD means microbes need more oxygen to decompose waste, meaning water is highly polluted. Both A and C are correct.","उच्च BOD का अर्थ है कि सूक्ष्मजीवों को कचरा अपघटित करने के लिए अधिक ऑक्सीजन चाहिए, जिसका मतलब पानी बहुत अधिक प्रदूषित है। अतः एक से अधिक विकल्प सही हैं।"
"131","What kind of disease is Hepatitis-A?","हेपेटाइटिस-A किस प्रकार की बीमारी है?","Food contamination","भोजन संदूषण","Water-borne disease","जल-उत्पन्न बीमारी","Air-borne disease","वायु-उत्पन्न बीमारी","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","4","Hepatitis A is primarily transmitted through both contaminated food and water. Both A and B apply.","हेपेटाइटिस-A मुख्य रूप से दूषित पानी (जल-जनित) और दूषित भोजन दोनों के सेवन से फैलता है। अतः विकल्प D सही है।"
"132","Fish in sewage-polluted water die due to:","मल के द्वारा प्रदूषित पानी में मछलियों की मृत्यु होती है:","Pathogens","रोगजनकों के द्वारा","Clogging of gills","गलफड़ों के बंद होने से","Lack of oxygen","ऑक्सीजन की कमी से","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Sewage pollution causes microbes to use up dissolved oxygen, leaving no oxygen for fish.","मल से प्रदूषित जल में सूक्ष्मजीव पानी की सारी घुली हुई ऑक्सीजन का उपयोग कर लेते हैं, जिससे मछलियाँ मर जाती हैं।"
"133","Which of the following is a pollution-induced disorder?","निम्नलिखित में से कौन-सा प्रदूषण-जनित विकार है?","Fluorosis","फ्लोरोसिस","Leprosy","कुष्ठ रोग","Pneumoconiosis","न्यूमोकोनियोसिस","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","4","Fluorosis is caused by water pollution. Pneumoconiosis is caused by inhaling dust/coal pollution. Both A and C are correct.","फ्लोरोसिस पानी में फ्लोराइड प्रदूषण से होता है। न्यूमोकोनियोसिस हवा में धूल प्रदूषण से होता है। अतः A और C दोनों सही हैं।"
"134","Coral reefs in India are found in:","भारत में प्रवाल भित्तियाँ पाई जाती हैं:","Himalayan region","हिमालयी क्षेत्र में","Andaman and Nicobar Islands","अंडमान एवं निकोबार द्वीपसमूह में","Uttar Pradesh","उत्तर प्रदेश में","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Coral reefs are found in Lakshadweep and the Andaman & Nicobar Islands.","भारत में प्रवाल भित्तियाँ मुख्य रूप से लक्षद्वीप और अंडमान एवं निकोबार द्वीपसमूह में पाई जाती हैं।"
"135","Choose the pair in which the words are differently related.","वह युग्म चुनिए, जिसमें शब्द भिन्न-भिन्न प्रकार से सम्बन्धित हों।","Wine : Grapes","शराब : अंगूर","Shoes : Leather","जूते : चमड़ा","Wheat : Crop","गेहूं : फसल","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","3","Wine is made FROM Grapes. Shoes are made FROM Leather. Wheat IS a type of Crop. Option C is different.","शराब अंगूर से बनती है और जूते चमड़े से। जबकि गेहूँ खुद एक फसल है। अतः विकल्प C अलग है।"
"136","Choose the odd numerical pair/group from the following:","निम्नलिखित में से विषम संख्यात्मक युग्म/समूह चुनिए:","80, 50","80, 50","54, 27","54, 27","32, 13","32, 13","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","54 is exactly 2×27. The others don't follow a direct multiple.","54, 27 में पहली संख्या दूसरी की दोगुनी (27×2 = 54) है। बाकी में ऐसा सीधा संबंध नहीं है।"
"137","Find the wrong number in the given series: ..., 40, 96, 864","दी गई श्रृंखला से गलत संख्या ज्ञात कीजिए: ..., 40, 96, 864","40","40","96","96","864","864","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","40 breaks the geometric progression pattern.","40 का 96 से कोई सीधा गुणक संबंध नहीं है। अतः 40 शृंखला को तोड़ता है।"
"138","In a race, Mohan ran faster than Namit and Om ran faster than Pawan. If Namit and Om were equal, then who was first in the race?","एक दौड़ में मोहन, नमित से तेज दौड़ा और ओम, पवन से तेज दौड़ा। यदि नमित एवं ओम दोनों बराबर थे, तो दौड़ में प्रथम कौन था?","Mohan","मोहन","Namit","नमित","Pawan","पवन","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Mohan > Namit. Om > Pawan. Since Namit = Om, the sequence is: Mohan > Namit = Om > Pawan. Thus, Mohan is the fastest.","मोहन > नमित। ओम > पवन। दिया गया है: नमित = ओम। इसलिए क्रम होगा: मोहन > नमित = ओम > पवन। अतः मोहन सबसे तेज (प्रथम) दौड़ा।"
"139","Leaving her house, Kamala went 50 meters south, then turned left and walked 60 meters. She again turned right and walked 30 meters. Now, how much distance will she have to walk to reach her house straight?","अपने घर से निकलकर कमला दक्षिण दिशा में 50 मीटर गई, फिर बाएँ मुड़कर 60 मीटर चली। वह पुनः दाएँ मुड़कर 30 मीटर चली। अब उसे अपने घर सीधे पहुँचने के लिए कितने चलना पड़ेगा?","140 meters","140 मीटर","100 meters","100 मीटर","90 meters","90 मीटर","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","South 50m. Left (East) 60m. Right (South) 30m. Total South = 80m. Total East = 60m. Shortest distance = √(80² + 60²) = 100 meters.","कुल दक्षिण दिशा = 50 + 30 = 80 मी। कुल पूर्व दिशा = 60 मी। घर से सीधी (न्यूनतम) दूरी पाइथागोरस प्रमेय से: √(80² + 60²) = 100 मीटर।"
"140","If May 25 in a certain year is Sunday, then what day of the week will be December 25 in the same year?","यदि किसी एक वर्ष में मई 25 को रविवार है, तो उसी वर्ष में दिसम्बर 25 को सप्ताह का कौन-सा दिन होगा?","Wednesday","बुधवार","Thursday","गुरुवार","Friday","शुक्रवार","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","2","Total days left = 214 days. 214 ÷ 7 = 30 weeks + 4 odd days. Sunday + 4 days = Thursday.","मई से दिसंबर तक कुल 214 दिन बचे। 214 ÷ 7 = 30 सप्ताह + 4 शेष दिन। रविवार + 4 दिन = गुरुवार।"
"141","In a code language, CALICUT is written as 8251896 and DELHI as 73541. How will CALCUTTA be written in that code language?","एक कूट भाषा में, CALICUT को 8251896 एवं DELHI को 73541 लिखा जाता है, तो उसी कूट भाषा में CALCUTTA को कैसे लिखा जाएगा?","82589662","82589662","85436912","85436912","86698528","86698528","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","Direct letter coding: C=8, A=2, L=5, I=1, U=9, T=6. So CALCUTTA = 82589662.","यह डायरेक्ट कोडिंग है। अक्षरों के मान: C=8, A=2, L=5, U=9, T=6. अतः CALCUTTA = 82589662।"
"142","P, Q, R, S, and T sit in a circle in a room. P faces South-West and S faces South-East. Q and T are opposite P and S respectively. R is equidistant between S and Q. Which direction is R facing?","P, Q, R, S एवं T. एक कमरे में एक वृत्त में बैठे हैं। P का मुँह दक्षिण-पश्चिम दिशा की तरफ है तथा S का मुँह दक्षिण-पूर्व दिशा की तरफ है। Q तथा T क्रमशः P एवं S के सामुन हैं। R, S एवं Q के मध्य समान दूरी पर है। R का मुँह किस दिशा में है?","East","पूर्व","South","दक्षिण","West","पश्चिम","More than one of the above","उपर्युक्त में से एक से अधिक","None of the above","उपर्युक्त में से कोई नहीं","1","P faces SW. S faces SE. Q faces NE. T faces NW. R sits exactly between S and Q (West side), facing East.","P का मुँह SW है। S का मुँह SE है। Q का मुँह NE है। R, S और Q के बीच (पश्चिम में) बैठा है, इसलिए R का मुँह पूर्व (East) की ओर होगा।"
